year,Region,Attack.Type,Percentage
1984,North America,Bombing/Explosion,25
1984,North America,Facility/Infrastructure Attack,8
1984,North America,Hostage taking/assassinaton,7
1984,North America,Other,26
1984,South America,Armed Assault,282
1984,South America,Bombing/Explosion,859
1984,South America,Facility/Infrastructure Attack,50
1984,South America,Hostage taking/assassinaton,202
1984,South America,Other,99
1984,South Asia,Armed Assault,17
1984,South Asia,Bombing/Explosion,116
1984,South Asia,Facility/Infrastructure Attack,13
1984,South Asia,Hostage taking/assassinaton,77
1984,South Asia,Other,21
1984,Sub-Saharan Africa,Armed Assault,7
1984,Sub-Saharan Africa,Bombing/Explosion,79
1984,Sub-Saharan Africa,Facility/Infrastructure Attack,4
